epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1044.27,1.07688,1.04285,1.55636,0.97342,0.68807,0.84904,0.68667,0.01504,0.56264,1.18627,0.98751,1.65914,0.000600906,0.000600906,0.000600906
131,1053.88,1.10218,1.1011,1.57649,0.89048,0.64026,0.80566,0.67937,0.01137,0.53054,1.20065,1.06263,1.66034,0.000597812,0.000597812,0.000597812
132,1064.32,1.08047,1.03242,1.58037,0.9057,0.64622,0.7569,0.63831,0.00952,0.51626,1.238,1.04372,1.68994,0.000594719,0.000594719,0.000594719
133,1074.79,1.1064,1.06069,1.56342,0.78766,0.70417,0.80021,0.64692,0.00343,0.52981,1.26957,0.97577,1.70441,0.000591625,0.000591625,0.000591625
134,1084.79,1.08291,1.05721,1.55205,0.78227,0.72376,0.81677,0.58814,0.00568,0.52012,1.32321,0.93967,1.78964,0.000588531,0.000588531,0.000588531
135,1094.75,1.07875,1.04491,1.56483,0.84953,0.68822,0.78883,0.65447,0.00589,0.54127,1.2671,0.93171,1.72217,0.000585438,0.000585438,0.000585438
136,1105.55,1.03217,0.96959,1.50915,0.83524,0.69557,0.78484,0.65196,0.01086,0.53987,1.24007,0.96439,1.7018,0.000582344,0.000582344,0.000582344
137,1115,1.08023,1.00757,1.52535,0.85968,0.71853,0.77257,0.64915,0.01244,0.51788,1.25105,0.98899,1.701,0.00057925,0.00057925,0.00057925
138,1125.53,1.05382,1.00461,1.54006,0.89958,0.70807,0.80684,0.61602,0.00423,0.53699,1.2289,0.98407,1.6803,0.000576156,0.000576156,0.000576156
139,1134.8,1.10089,1.07058,1.56297,0.84483,0.73756,0.82074,0.52991,0.00565,0.50936,1.30006,1.03394,1.7531,0.000573063,0.000573063,0.000573063
140,1144.72,1.06308,1.00897,1.54689,0.79918,0.69756,0.77398,0.58347,0.00604,0.5141,1.23095,0.99918,1.6945,0.000569969,0.000569969,0.000569969
141,1154.88,1.11521,1.02398,1.56129,0.77368,0.66132,0.7683,0.61926,0.00383,0.50753,1.23097,0.98109,1.69526,0.000566875,0.000566875,0.000566875
142,1165.01,1.12113,1.10297,1.56826,0.72705,0.69526,0.7541,0.58797,0.00441,0.4917,1.2434,1.00926,1.71346,0.000563781,0.000563781,0.000563781
143,1173.87,1.03783,0.98673,1.49777,0.70741,0.72559,0.81275,0.65148,0.0214,0.53025,1.20475,0.92709,1.66046,0.000560687,0.000560687,0.000560687
144,1183.49,1.06055,0.99485,1.51037,0.80749,0.76085,0.86612,0.65345,0.00507,0.55902,1.19892,0.92408,1.69539,0.000557594,0.000557594,0.000557594
145,1193.67,1.05963,0.99322,1.52537,0.78718,0.70781,0.81115,0.63049,0.0058,0.53565,1.20177,0.94608,1.67779,0.0005545,0.0005545,0.0005545
146,1206.5,1.04876,1.0191,1.49315,0.76526,0.71059,0.7901,0.673,0.00415,0.53721,1.20676,0.95824,1.69435,0.000551406,0.000551406,0.000551406
147,1215.78,1.04426,0.99226,1.50713,0.80578,0.66905,0.76974,0.61376,0.0007,0.51828,1.22698,0.97562,1.74392,0.000548312,0.000548312,0.000548312
148,1225.4,1.055,0.98846,1.5168,0.74375,0.7092,0.76675,0.61081,0.00528,0.51662,1.25965,0.98426,1.76362,0.000545219,0.000545219,0.000545219
149,1235.77,0.98272,0.91492,1.46856,0.76733,0.72865,0.77782,0.61981,0.01151,0.51933,1.29144,0.97416,1.80394,0.000542125,0.000542125,0.000542125
150,1245.99,1.03374,1.00843,1.50338,0.88352,0.7614,0.8718,0.59726,0.01242,0.5405,1.24821,0.95468,1.76144,0.000539031,0.000539031,0.000539031
151,1255.67,1.00551,0.973,1.49597,0.92271,0.73702,0.85653,0.65644,0.00304,0.54888,1.23143,0.91653,1.7103,0.000535937,0.000535937,0.000535937
152,1265.23,1.04447,0.98129,1.48958,0.85635,0.71144,0.82167,0.61433,0.00296,0.54391,1.22918,0.90415,1.70775,0.000532844,0.000532844,0.000532844
153,1274.88,0.98859,0.95291,1.47409,0.8806,0.67896,0.78464,0.67433,0.00326,0.53228,1.19575,0.92266,1.69445,0.00052975,0.00052975,0.00052975
154,1285.03,0.97851,0.96248,1.4442,0.80721,0.67931,0.76807,0.64549,0.00596,0.51297,1.21026,0.95498,1.72197,0.000526656,0.000526656,0.000526656
155,1294.34,1.04222,0.98847,1.51085,0.84938,0.63199,0.76607,0.66397,0.00908,0.51237,1.21229,0.96867,1.69647,0.000523563,0.000523563,0.000523563
156,1304.15,0.9966,0.97552,1.47075,0.8458,0.65675,0.7329,0.60371,0.00039,0.49809,1.25927,1.00455,1.75767,0.000520469,0.000520469,0.000520469
157,1314.24,1.03046,0.97471,1.49193,0.84528,0.63464,0.75382,0.62928,0.012,0.5059,1.20303,0.99075,1.70287,0.000517375,0.000517375,0.000517375
158,1323.86,1.0275,1.00878,1.50786,0.78021,0.68655,0.78567,0.66532,0.00532,0.53599,1.20151,0.9727,1.66494,0.000514281,0.000514281,0.000514281
159,1333.53,0.97645,0.94691,1.4303,0.83341,0.58047,0.76161,0.5979,0.03106,0.50495,1.18024,0.9931,1.67401,0.000511188,0.000511188,0.000511188
160,1343.19,0.97301,1.00046,1.43927,0.72592,0.69892,0.73384,0.60964,0.0082,0.48489,1.19958,1.03458,1.6852,0.000508094,0.000508094,0.000508094
161,1353.62,0.96298,0.93476,1.45772,0.77817,0.67051,0.75323,0.63006,0.01431,0.50448,1.22791,0.98485,1.69686,0.000505,0.000505,0.000505
