epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3744.97,1.23066,1.46811,1.73157,0.60895,0.48825,0.55269,0.31878,0.00912,0.3282,1.81633,1.77814,2.43725,0.000780344,0.000780344,0.000780344
73,3787.64,1.24918,1.48213,1.73108,0.56547,0.51678,0.55577,0.35402,0.00704,0.33734,1.73932,1.69198,2.33315,0.00077725,0.00077725,0.00077725
74,3832.36,1.22558,1.45132,1.73844,0.67127,0.49728,0.5566,0.33851,0.01099,0.33522,1.7996,1.71805,2.4039,0.000774156,0.000774156,0.000774156
75,3887.67,1.23679,1.46072,1.73477,0.72886,0.47892,0.54354,0.32894,0.05837,0.33048,1.75426,1.7377,2.40372,0.000771063,0.000771063,0.000771063
76,3941.68,1.23738,1.44344,1.72368,0.58747,0.49103,0.54423,0.30442,0.05561,0.32562,1.77604,1.7484,2.38642,0.000767969,0.000767969,0.000767969
77,4005.49,1.24103,1.46102,1.72551,0.53417,0.54176,0.54918,0.32631,0.06745,0.33491,1.77179,1.76809,2.37729,0.000764875,0.000764875,0.000764875
78,4058.31,1.22415,1.43208,1.73586,0.61241,0.52998,0.55466,0.33147,0.0242,0.33131,1.81188,1.72965,2.41338,0.000761781,0.000761781,0.000761781
79,4122.28,1.22318,1.43034,1.72834,0.57952,0.45195,0.48825,0.28377,0.05235,0.29312,1.80267,1.7954,2.46434,0.000758687,0.000758687,0.000758687
80,4185.48,1.20322,1.41942,1.71035,0.60327,0.53838,0.55031,0.32878,0.03833,0.33211,1.77163,1.72934,2.42082,0.000755594,0.000755594,0.000755594
81,4249.7,1.22145,1.44531,1.72585,0.66125,0.46374,0.54929,0.33622,0.0372,0.32859,1.77401,1.68445,2.3792,0.0007525,0.0007525,0.0007525
82,4310.93,1.23195,1.44471,1.71886,0.56454,0.54042,0.54731,0.31329,0.01294,0.32941,1.77509,1.76315,2.3904,0.000749406,0.000749406,0.000749406
83,4376.79,1.2089,1.4067,1.71348,0.49642,0.57225,0.53772,0.30561,0.01039,0.31138,1.78123,1.66282,2.41763,0.000746313,0.000746313,0.000746313
84,4431.07,1.20488,1.41497,1.70553,0.63419,0.49633,0.54639,0.33681,0.01631,0.33135,1.81957,1.71861,2.42044,0.000743219,0.000743219,0.000743219
85,4479.5,1.20888,1.40467,1.6972,0.57526,0.4753,0.53289,0.3194,0.08356,0.32597,1.79233,1.7677,2.38322,0.000740125,0.000740125,0.000740125
86,4541.85,1.21432,1.42096,1.70469,0.69466,0.49814,0.56107,0.35686,0.05727,0.34164,1.7677,1.71689,2.41808,0.000737031,0.000737031,0.000737031
87,4605.26,1.18193,1.37711,1.68596,0.59503,0.54222,0.56757,0.33596,0.03159,0.33548,1.75352,1.64494,2.35,0.000733937,0.000733937,0.000733937
88,4667.62,1.1809,1.3629,1.68576,0.65536,0.49652,0.55251,0.33898,0.04476,0.33784,1.75028,1.6907,2.40099,0.000730844,0.000730844,0.000730844
89,4731.73,1.19166,1.36939,1.68705,0.60663,0.49234,0.55239,0.33859,0.00265,0.32946,1.75689,1.72201,2.32892,0.00072775,0.00072775,0.00072775
90,4792.94,1.18974,1.39915,1.6835,0.56807,0.54907,0.52705,0.30372,0.04631,0.31171,1.84376,1.74363,2.46936,0.000724656,0.000724656,0.000724656
91,4856.98,1.20751,1.38083,1.69961,0.5473,0.52338,0.5717,0.38781,0.05887,0.36788,1.75939,1.64712,2.41216,0.000721562,0.000721562,0.000721562
92,4919.75,1.1802,1.39137,1.68821,0.53532,0.52352,0.52497,0.31409,0.02865,0.31234,1.81225,1.77592,2.43829,0.000718469,0.000718469,0.000718469
93,4976.9,1.18102,1.37604,1.68336,0.62168,0.52281,0.55498,0.3428,0.02572,0.33903,1.76308,1.71263,2.45503,0.000715375,0.000715375,0.000715375
94,5041.96,1.16477,1.3606,1.67533,0.5271,0.52066,0.53623,0.31891,0.05071,0.32429,1.83446,1.7905,2.47478,0.000712281,0.000712281,0.000712281
95,5105.14,1.17055,1.3458,1.65929,0.54814,0.60127,0.56296,0.33614,0.02983,0.33331,1.79245,1.72051,2.44278,0.000709188,0.000709188,0.000709188
96,5166.04,1.16738,1.36374,1.66933,0.58239,0.53734,0.52709,0.32639,0.02517,0.31521,1.82758,1.72156,2.45165,0.000706094,0.000706094,0.000706094
97,5227.2,1.15934,1.32899,1.66276,0.5656,0.52431,0.53752,0.30005,0.02266,0.31282,1.84764,1.71137,2.457,0.000703,0.000703,0.000703
98,5291.87,1.15627,1.33153,1.64538,0.5736,0.53612,0.5456,0.33624,0.00642,0.32998,1.75378,1.72052,2.36059,0.000699906,0.000699906,0.000699906
99,5354.82,1.15991,1.32368,1.66168,0.53883,0.53295,0.55564,0.32575,0.034,0.33038,1.77256,1.72074,2.42571,0.000696812,0.000696812,0.000696812
100,5415.85,1.15357,1.31004,1.66044,0.59801,0.51993,0.55642,0.3246,0.01392,0.33247,1.74935,1.72038,2.3693,0.000693719,0.000693719,0.000693719
101,5477.18,1.17051,1.34776,1.66532,0.67641,0.47542,0.52902,0.32462,0.00487,0.31575,1.7863,1.63142,2.36022,0.000690625,0.000690625,0.000690625
102,5538.88,1.14137,1.28556,1.64701,0.55993,0.49957,0.5324,0.30972,0.05029,0.3258,1.82649,1.74601,2.48392,0.000687531,0.000687531,0.000687531
103,5598.88,1.12937,1.28657,1.63073,0.5175,0.56002,0.54159,0.33017,0.02522,0.32507,1.84112,1.69834,2.51043,0.000684438,0.000684438,0.000684438
104,5661.5,1.13641,1.30123,1.63046,0.67567,0.50977,0.51805,0.30106,0.02448,0.3072,1.81819,1.71674,2.47101,0.000681344,0.000681344,0.000681344
105,5722.99,1.14209,1.30586,1.64373,0.60496,0.4977,0.53782,0.32042,0.01479,0.32464,1.7473,1.65781,2.38495,0.00067825,0.00067825,0.00067825
106,5788.52,1.13844,1.29657,1.63621,0.56848,0.51024,0.54845,0.31405,0.05609,0.32616,1.79891,1.75485,2.4503,0.000675156,0.000675156,0.000675156
107,5847.83,1.13698,1.27271,1.62679,0.6487,0.53245,0.5688,0.33472,0.01471,0.33831,1.81228,1.65298,2.47846,0.000672063,0.000672063,0.000672063
108,5910.7,1.12661,1.25488,1.63003,0.60059,0.49415,0.54331,0.31373,0.04176,0.32187,1.79158,1.70425,2.4397,0.000668969,0.000668969,0.000668969
109,5972.26,1.12614,1.27418,1.6302,0.57991,0.55374,0.55958,0.33151,0.05498,0.33837,1.79792,1.69515,2.47812,0.000665875,0.000665875,0.000665875
110,6032.86,1.09534,1.27009,1.60516,0.5809,0.55557,0.57664,0.32648,0.02277,0.33874,1.82022,1.67552,2.4829,0.000662781,0.000662781,0.000662781
111,6088.31,1.10629,1.25549,1.60358,0.54804,0.57325,0.58271,0.35639,0.02846,0.35355,1.80278,1.65042,2.45426,0.000659688,0.000659688,0.000659688
112,6155.24,1.11281,1.23082,1.61896,0.59309,0.49211,0.54229,0.32292,0.03989,0.32257,1.8327,1.69065,2.51824,0.000656594,0.000656594,0.000656594
113,6217.15,1.10996,1.23327,1.60552,0.61527,0.50637,0.5379,0.289,0.00313,0.3126,1.84012,1.76355,2.53578,0.0006535,0.0006535,0.0006535
114,6280.02,1.09466,1.2423,1.60388,0.65253,0.51144,0.557,0.34426,0.05247,0.3409,1.76596,1.70923,2.42126,0.000650406,0.000650406,0.000650406
115,6328.28,1.09945,1.21489,1.58991,0.51718,0.52561,0.5342,0.30958,0.00333,0.31794,1.82339,1.71393,2.46567,0.000647313,0.000647313,0.000647313
